Ad Impressions,Channel Image,Channel Name,Video Name,Content Category,Video Language,Video Minutes,Video Definition,Childrens Content,Video Views,Channel Views,Channel Subs,Channel Origin,Video URL,Channel URL
10000,https://yt3.ggpht.com/dQm0CwqoqKMMTW7nvQ_hUYrl_n4ZFIi29M4cBfCyVMTaYA1VrEVFjBzYJNlnkKUbHcidfopwwQ=s88-c-k-c0x00ffffff-no-rj,NickandCarrie,Guess The Girlfriend Blindfolded!,People & Blogs,en-US,23,hd,No,1491284,10525557326,9590000,AU,https://www.youtube.com/watch?v=AV79eLvxEgA,https://www.youtube.com/channel/UCR1Jltq7vMzGQVtRd-DR5AA
15000,https://yt3.ggpht.com/i9Ckls6x8xdyWLDtnOtN6sAdLXmInC5l2tuNMQ1vwJRwtBMlqC2qETxUaG5yd1lfuyL08dRUZw=s88-c-k-c0x00ffffff-no-rj,Jasmin and James,I Never Expected This... Valentine's day,Entertainment,NA,12,hd,No,992906,3569332892,5890000,AU,https://www.youtube.com/watch?v=4gWkMVRPi4Y,https://www.youtube.com/channel/UC5OVPGQqCUm0CCyVzELGITQ
20000,https://yt3.ggpht.com/vS-H13mwXBirk26-6ma8oCm6biX4ZhlSMGjQAFgw1q_RmdMwHZPyavolRNVGxTY1OV6PFNzXWA=s88-c-k-c0x00ffffff-no-rj,Jiemba Sands,How Different Animals Breakdance (Funny Compilation Part 1-4),Comedy,zxx,1,hd,No,48144,7161225229,12000000,AU,https://www.youtube.com/watch?v=E2m09P-31vc,https://www.youtube.com/channel/UCDb8-E9XyZnyAA7QB_SD8Sg
25000,https://yt3.ggpht.com/ytc/AIdro_mI96w7ZDNqK8w_bxjASmLysfsUY2txHbXKZd8NTSnKF2s=s88-c-k-c0x00ffffff-no-rj,Bounce Patrol - Kids Songs,Ball Pit Party + More Kids Songs ðŸŸ¡ðŸŸ£ðŸŸ¢ðŸ”µðŸŸ ðŸŽ‰ | Bounce Patrol Compilation,Music,en,41,hd,Yes,3884206,23962005515,31200000,AU,https://www.youtube.com/watch?v=8deypue7SdQ,https://www.youtube.com/channel/UC56cowXhoqRWHeqfSJkIQaA
30000,https://yt3.ggpht.com/ytc/AIdro_kxmWfLMY_bKthwriveVb4LhWN9OLOYirTLQxPXqzqBmtg=s88-c-k-c0x00ffffff-no-rj,How Ridiculous,ANVIL Vs. CAR from 165m Swiss Dam!,Sports,en,21,hd,No,20942251,13682143757,22900000,AU,https://www.youtube.com/watch?v=qL1CCn4bplo,https://www.youtube.com/channel/UC5f5IV0Bf79YLp_p9nfInRA
35000,https://yt3.ggpht.com/iNJyYYabDThZWQiPpv0JfyOD7wY5KQmXpE3AtcAV3H7-R8J7bn3Abhb-90qhRJeQr_iK9D7xSg=s88-c-k-c0x00ffffff-no-rj,Vindooly,I Hired A Blox Fruits PRO To Train Me...,Gaming,en,11,hd,No,3163235,3143031367,4850000,AU,https://www.youtube.com/watch?v=Xy_E-3RMf_A,https://www.youtube.com/channel/UCj4hfQEWcGtF08SLEZCZc5Q
40000,https://yt3.ggpht.com/xObDpJv2zT7tGDYBq8tJy1NnGGz1kXupB6q_uqBiMKHeT73y2zit6txtSFSVAj7DPCIgee57wdQ=s88-c-k-c0x00ffffff-no-rj,StateHuman,TOP VIDEOS COUNTRYHUMANS ðŸ”¥ (COMPILATION),Entertainment,NA,11,hd,No,1103676,420422208,1660000,AU,https://www.youtube.com/watch?v=3npULHOhK94,https://www.youtube.com/channel/UCzshiXekjY6kjGvufNUGPMA
45000,https://yt3.ggpht.com/-Z9-8HaiNm83Me5l_jqMXmCNWSuTxTFG_3S5GEjuzikPaP3zMuUyAzfUAWqJOpgp2ut4-2-ltg=s88-c-k-c0x00ffffff-no-rj,Australian Open TV,Australian Open 2025 Hits Different,Sports,zh-CN,31,hd,No,5807,3238079576,2510000,AU,https://www.youtube.com/watch?v=L6n1tZ9l45M,https://www.youtube.com/channel/UCeTKJSW1NTAkf27nNmjWt5A
50000,https://yt3.ggpht.com/qsMZLAbbMpAl8ggO8zC613Wr8jFPc3rxqxEMat-0MVPct94c5A-voU7uI3jXg-NimELnl7htnqQ=s88-c-k-c0x00ffffff-no-rj,Priya and Sid,NEW Van Tour,Howto & Style,en,24,hd,No,3082551,2978770211,6740000,AU,https://www.youtube.com/watch?v=h0i4zaroAYA,https://www.youtube.com/channel/UCsbFefxpne9aYgoQ7baNnRg
55000,https://yt3.ggpht.com/i9Ckls6x8xdyWLDtnOtN6sAdLXmInC5l2tuNMQ1vwJRwtBMlqC2qETxUaG5yd1lfuyL08dRUZw=s88-c-k-c0x00ffffff-no-rj,Jasmin and James,I Never Expected This... Valentine's day,Entertainment,NA,12,hd,No,992906,3569332892,5890000,AU,https://www.youtube.com/watch?v=4gWkMVRPi4Y,https://www.youtube.com/channel/UC5OVPGQqCUm0CCyVzELGITQ
